date_key,order_date,year,quarter,month,month_name,year_month,week_of_year,day,weekday_name
20171103,2017-11-03,2017,Q4,11,Nov,2017-11,44,3,Friday
20171104,2017-11-04,2017,Q4,11,Nov,2017-11,44,4,Saturday
20171105,2017-11-05,2017,Q4,11,Nov,2017-11,44,5,Sunday
20171106,2017-11-06,2017,Q4,11,Nov,2017-11,45,6,Monday
20171107,2017-11-07,2017,Q4,11,Nov,2017-11,45,7,Tuesday
20171108,2017-11-08,2017,Q4,11,Nov,2017-11,45,8,Wednesday
20171109,2017-11-09,2017,Q4,11,Nov,2017-11,45,9,Thursday
20171110,2017-11-10,2017,Q4,11,Nov,2017-11,45,10,Friday
20171111,2017-11-11,2017,Q4,11,Nov,2017-11,45,11,Saturday
20171112,2017-11-12,2017,Q4,11,Nov,2017-11,45,12,Sunday
20171113,2017-11-13,2017,Q4,11,Nov,2017-11,46,13,Monday
20171114,2017-11-14,2017,Q4,11,Nov,2017-11,46,14,Tuesday
20171115,2017-11-15,2017,Q4,11,Nov,2017-11,46,15,Wednesday
20171116,2017-11-16,2017,Q4,11,Nov,2017-11,46,16,Thursday
20171117,2017-11-17,2017,Q4,11,Nov,2017-11,46,17,Friday
20171118,2017-11-18,2017,Q4,11,Nov,2017-11,46,18,Saturday
20171119,2017-11-19,2017,Q4,11,Nov,2017-11,46,19,Sunday
20171120,2017-11-20,2017,Q4,11,Nov,2017-11,47,20,Monday
20171121,2017-11-21,2017,Q4,11,Nov,2017-11,47,21,Tuesday
20171122,2017-11-22,2017,Q4,11,Nov,2017-11,47,22,Wednesday
20171123,2017-11-23,2017,Q4,11,Nov,2017-11,47,23,Thursday
20171124,2017-11-24,2017,Q4,11,Nov,2017-11,47,24,Friday
20171125,2017-11-25,2017,Q4,11,Nov,2017-11,47,25,Saturday
20171126,2017-11-26,2017,Q4,11,Nov,2017-11,47,26,Sunday
20171127,2017-11-27,2017,Q4,11,Nov,2017-11,48,27,Monday
20171128,2017-11-28,2017,Q4,11,Nov,2017-11,48,28,Tuesday
20171129,2017-11-29,2017,Q4,11,Nov,2017-11,48,29,Wednesday
20171130,2017-11-30,2017,Q4,11,Nov,2017-11,48,30,Thursday
20171201,2017-12-01,2017,Q4,12,Dec,2017-12,48,1,Friday
20171202,2017-12-02,2017,Q4,12,Dec,2017-12,48,2,Saturday
20171203,2017-12-03,2017,Q4,12,Dec,2017-12,48,3,Sunday
20171204,2017-12-04,2017,Q4,12,Dec,2017-12,49,4,Monday
20171205,2017-12-05,2017,Q4,12,Dec,2017-12,49,5,Tuesday
20171206,2017-12-06,2017,Q4,12,Dec,2017-12,49,6,Wednesday
20171207,2017-12-07,2017,Q4,12,Dec,2017-12,49,7,Thursday
20171208,2017-12-08,2017,Q4,12,Dec,2017-12,49,8,Friday
20171209,2017-12-09,2017,Q4,12,Dec,2017-12,49,9,Saturday
20171210,2017-12-10,2017,Q4,12,Dec,2017-12,49,10,Sunday
20171211,2017-12-11,2017,Q4,12,Dec,2017-12,50,11,Monday
20171212,2017-12-12,2017,Q4,12,Dec,2017-12,50,12,Tuesday
20171213,2017-12-13,2017,Q4,12,Dec,2017-12,50,13,Wednesday
20171214,2017-12-14,2017,Q4,12,Dec,2017-12,50,14,Thursday
20171215,2017-12-15,2017,Q4,12,Dec,2017-12,50,15,Friday
20171216,2017-12-16,2017,Q4,12,Dec,2017-12,50,16,Saturday
20171217,2017-12-17,2017,Q4,12,Dec,2017-12,50,17,Sunday
